,familyId,homeId,schoolId,workplaceId,age,sex,infected,infectionTime,type,education,homeX,homeY,susceptibility
1,0,80,0,0,16,Male,False,0,working,13,481.9074660658744,491.82147819553,0.00010481987762451172
2,0,80,0,0,46,Male,False,0,working,13,481.9074660658744,491.82147819553,0.00032682275390625
3,0,80,0,0,16,Female,False,0,student,13,481.9074660658744,491.82147819553,8.032269287109375e-05
4,0,80,0,0,6,Female,False,0,student,3,481.9074660658744,491.82147819553,4.754473495483398e-05
5,0,80,0,0,12,Female,False,0,student,9,481.9074660658744,491.82147819553,4.9964962005615235e-05
6,1,5,0,0,8,Male,False,0,working,8,607.2752464669429,170.6591930727109,6.878675842285157e-05
7,1,5,0,0,32,Female,False,0,working,12,607.2752464669429,170.6591930727109,0.00011900917053222656
8,1,5,0,0,8,Female,False,0,student,5,607.2752464669429,170.6591930727109,3.673006057739258e-05
9,2,153,0,0,8,Male,False,0,working,11,354.86229492426384,831.9433738431247,0.00011442265319824218
10,2,153,0,0,47,Male,False,0,working,10,354.86229492426384,831.9433738431247,0.00042134075927734377
11,2,153,0,0,8,Male,False,0,student,5,354.86229492426384,831.9433738431247,5.624172592163086e-05
12,2,153,0,0,6,Female,False,0,student,3,354.86229492426384,831.9433738431247,4.754473495483398e-05
13,3,28,0,0,15,Male,False,0,working,11,536.20714026112,549.5431096313423,0.00010862898254394531
14,3,28,0,0,43,Female,False,0,working,12,536.20714026112,549.5431096313423,0.00011827740478515625
15,3,28,0,0,15,Female,False,0,student,12,536.20714026112,549.5431096313423,7.912249755859375e-05
16,4,52,0,0,5,Female,False,0,working,12,47.48611711025852,325.930525963531,8.553478240966796e-05
17,4,52,0,0,49,Female,False,0,working,14,47.48611711025852,325.930525963531,0.0001241107177734375
18,4,52,0,0,5,Female,False,0,student,2,47.48611711025852,325.930525963531,5.295209121704102e-05
19,5,56,0,0,10,Male,False,0,working,11,400.68543010488366,640.5482849439503,0.00010826551818847657
20,5,56,0,0,38,Female,False,0,working,13,400.68543010488366,640.5482849439503,9.6825439453125e-05
21,5,56,0,0,10,Male,False,0,student,7,400.68543010488366,640.5482849439503,4.7621936798095704e-05
22,5,56,0,0,6,Male,False,0,student,3,400.68543010488366,640.5482849439503,7.078585815429687e-05
23,5,56,0,0,11,Male,False,0,student,8,400.68543010488366,640.5482849439503,5.7597789764404296e-05
24,6,283,0,0,11,Female,False,0,working,14,178.9345593963757,82.82260418237153,6.91855697631836e-05
25,6,283,0,0,49,Male,False,0,working,16,178.9345593963757,82.82260418237153,0.0002624710693359375
26,6,283,0,0,11,Female,False,0,student,8,178.9345593963757,82.82260418237153,3.034615707397461e-05
27,6,283,0,0,10,Female,False,0,student,7,178.9345593963757,82.82260418237153,2.727348327636719e-05
28,6,283,0,0,11,Female,False,0,student,8,178.9345593963757,82.82260418237153,3.034615707397461e-05
29,7,497,0,0,11,Male,False,0,working,13,448.7595928277515,162.32190164298922,0.00010011927795410156
30,7,497,0,0,41,Male,False,0,working,14,448.7595928277515,162.32190164298922,0.0003013545227050781
31,7,497,0,0,11,Male,False,0,student,8,448.7595928277515,162.32190164298922,5.7597789764404296e-05
32,7,497,0,0,13,Female,False,0,student,10,448.7595928277515,162.32190164298922,6.885653686523438e-05
33,8,198,0,0,10,Female,False,0,working,15,113.26893144486871,65.22495644453474,7.164958953857421e-05
34,8,198,0,0,36,Male,False,0,working,12,113.26893144486871,65.22495644453474,0.00034484597778320313
35,8,198,0,0,10,Female,False,0,student,7,113.26893144486871,65.22495644453474,2.727348327636719e-05
36,9,110,0,0,12,Female,False,0,working,15,338.89256750808636,22.720002657899087,6.633026885986328e-05
37,9,110,0,0,37,Female,False,0,working,10,338.89256750808636,22.720002657899087,0.00012944935607910158
38,9,110,0,0,12,Female,False,0,student,9,338.89256750808636,22.720002657899087,4.9964962005615235e-05
39,9,110,0,0,15,Female,False,0,student,12,338.89256750808636,22.720002657899087,7.912249755859375e-05
40,9,110,0,0,15,Male,False,0,student,12,338.89256750808636,22.720002657899087,0.00010591785430908204
41,10,484,0,0,8,Female,False,0,working,10,495.6543540149121,918.2535625726676,7.671427917480469e-05
42,10,484,0,0,41,Female,False,0,working,10,495.6543540149121,918.2535625726676,0.0001333600616455078
43,10,484,0,0,8,Female,False,0,student,5,495.6543540149121,918.2535625726676,3.673006057739258e-05
44,11,361,0,0,16,Male,False,0,working,11,76.14862669228728,530.61381392217,0.00011252688598632813
45,11,361,0,0,43,Male,False,0,working,11,76.14862669228728,530.61381392217,0.00037853369140625
46,11,361,0,0,16,Male,False,0,student,13,76.14862669228728,530.61381392217,0.00010481987762451172
47,11,361,0,0,10,Female,False,0,student,7,76.14862669228728,530.61381392217,2.727348327636719e-05
48,11,361,0,0,12,Male,False,0,student,9,76.14862669228728,530.61381392217,7.7268798828125e-05
49,12,89,0,0,5,Male,False,0,working,14,594.5996904144737,278.53690490744475,0.00011582838439941406
50,12,89,0,0,36,Female,False,0,working,12,594.5996904144737,278.53690490744475,0.00011107730102539063
51,12,89,0,0,5,Female,False,0,student,2,594.5996904144737,278.53690490744475,5.295209121704102e-05
52,12,89,0,0,11,Male,False,0,student,8,594.5996904144737,278.53690490744475,5.7597789764404296e-05
53,13,318,0,0,45,Female,False,0,working,0,946.1809705523664,731.2703778557216,0.0004487216796875
54,13,318,0,0,43,Female,False,0,working,0,946.1809705523664,731.2703778557216,0.00042382839965820313
55,14,274,0,0,6,Female,False,0,working,10,263.61190252522584,252.167862592962,8.32664031982422e-05
56,14,274,0,0,41,Male,False,0,working,13,263.61190252522584,252.167862592962,0.00032598281860351565
57,14,274,0,0,6,Female,False,0,student,3,263.61190252522584,252.167862592962,4.754473495483398e-05
58,14,274,0,0,16,Male,False,0,student,13,263.61190252522584,252.167862592962,0.00010481987762451172
59,15,93,0,0,10,Male,False,0,working,13,102.41949690646179,341.28123841360383,0.00010306431579589844
60,15,93,0,0,49,Male,False,0,working,16,102.41949690646179,341.28123841360383,0.0002624710693359375
61,15,93,0,0,10,Female,False,0,student,7,102.41949690646179,341.28123841360383,2.727348327636719e-05
62,15,93,0,0,6,Female,False,0,student,3,102.41949690646179,341.28123841360383,4.754473495483398e-05
63,16,122,0,0,7,Female,False,0,working,13,425.74469541498297,235.71958148559125,8.001982879638673e-05
