,x,y
3499376959,75.73057391967168,670.1953154001005
3499376968,75.06659001632092,674.6891245056781
3499376971,72.80540385170458,678.880357935816
3499376973,71.58857909357292,682.974935247377
3499376976,67.4216728945916,685.7793634984456
3499376978,67.12656893747116,687.2614239827633
3173009889,112.54958321353894,648.7040375642141
3370635235,114.5194979400027,649.1565002640201
3499376901,102.78145060840197,650.0278061442439
3499376903,108.09140557640504,650.060024850403
3499376905,98.18434416024935,650.79265021269
3499376906,118.03487592221066,651.675162599393
3499376907,95.23426271926354,652.2901196434728
3499376909,122.86672415448895,653.2524783889593
3499376912,129.78537894038882,654.2890802399647
3499376917,131.14113250940304,655.4377471560122
3499376931,87.93331417074587,661.1824825493794
3499376933,135.90399540094083,663.1898480257432
3499376934,137.3641851106716,664.744750802301
3499376940,86.16652294726345,665.8766079585549
3499376942,84.05193063146537,666.2758397525716
3499376946,82.44227268375853,667.3586684428727
3499376950,77.47628628923943,669.2077420149983
3499376955,80.75788061713176,669.6377917018456
3173011699,198.97096866916888,624.2332298132271
3173011704,197.73306505698636,625.8133472294007
3173011708,188.74868257165195,625.9772423869035
3499376082,186.2077225256504,630.415018959985
3499376086,183.29500814412458,631.9166908307037
3499376088,181.13538373093084,634.4801791920438
3499376091,178.80808661500413,635.6288461080416
3499376894,175.62517964937658,638.8072915134613
3499376896,172.21998658620075,639.3746209048671
3499376899,171.7658330938208,646.0410914576896
3499376913,170.0795247677101,654.401145304957
3499376921,166.98572386706385,659.5169155211578
3499376925,157.66791223533897,660.3966262812037
3499376926,165.80339177923435,660.4638653201791
3499376928,164.1343297883428,660.6893962634427
3499376929,156.86883203993733,661.0494052847072
3499376938,140.66781642242483,665.4885826710673
3499376953,144.2483472262693,669.5005119972374
3499376960,151.47935230437258,670.5819398742595
3499376963,150.5930823033374,671.2361196910916
3501425295,200.78949889817264,620.1680695811683
3501425297,193.5259174092511,623.5888556895956
3501425299,191.01945003355175,624.4111331038664
3501425300,195.7094950656535,625.7264968040241
3173010282,264.3575740155241,670.7206203921963
3173010283,258.5158570470633,665.7547372004118
3173010290,255.08862700016275,663.0945927205445
3173010298,260.1734214813236,670.2233316663735
3173010307,255.30899683822707,667.3376562431929
3173010312,252.09638785093907,646.1279418830662
3173010314,257.11794576994737,667.983431180153
3173010685,246.80846986679688,649.998389064692
3173010688,243.80185877164803,651.3039470716493
3173010699,239.7020216537871,646.2624199610173
3173010708,235.5140366006188,642.7729940002858
3173010712,235.03401360541008,640.7544220173929
3173010725,231.67481076944,632.912669095678
3173010727,226.704991855953,622.7021408629565
3173010736,223.8488071284541,617.3104104242606
3173010741,221.68343393694474,609.633953473377
3173011234,216.22113634194395,606.2467868844375
3173011259,214.73603525919447,606.3952730955748
3173011685,205.66637922771045,617.2151551190618
3173011691,203.61981412284283,618.9857831456827
3370641092,215.14419852450487,596.2029554359258
3370641299,218.61071189034934,599.534089492369
3370641300,222.34358532146382,602.0429461345415
3370641301,225.0167672703584,606.4443015614779
3370641302,225.82830315233747,611.6455213897266
3370641304,227.45903995409515,617.2936006645167
3370641306,232.54670882441383,625.7825293365204
3370641308,233.30267318203985,632.3341331977432
3370641310,235.41822362751182,636.8531569428868
3370641312,237.63916834337422,644.2466496047317
3370641313,238.56663792283723,645.5353978519948
3494317442,230.94375778483266,652.0379732472649
3494317443,237.27220465649162,654.4361656377735
3494317444,231.70355466129038,654.625275434892
3494317445,236.2910798122957,655.3256820910199
3494317446,240.14180320024187,655.1785966932111
3494317448,249.28140270200413,656.4855555134969
3494317449,230.52888761139658,656.6970783236737
3494317451,250.0871898055314,657.2700109683441
3494317454,244.77819296733838,658.0096403972242
3494317456,234.36907157224925,659.6541952257162
3494317459,251.7342148126982,662.1658534945458
3494317463,231.60390916935174,666.4971682558993
3494317464,234.2081057775058,666.987452915129
3494317465,230.595956692517,667.8909775015119
3494317466,252.96062086811335,668.3518450812396
3494317467,228.58005173898368,668.6095947307122
3494317468,233.70892018786634,669.2665761741018
3494317469,254.22056146402062,669.6798161012052
3494317471,227.33639934848554,670.046829189013
3494317472,232.3311296349912,670.1294771744537
3494317473,229.1472645396898,670.5903447541316
3494317474,228.60592124181244,671.5008734071076
3494317475,258.4535786145846,671.5751165126264
3494317478,262.01494682386215,671.8580808017148
3494317481,230.48481364381095,672.629928936754
3494317482,227.55485292706595,673.8794544112151
3494317485,232.52658810003683,675.3208913095018
3494317486,225.85800517386176,675.9484556733397
3494317487,227.81163169491637,676.5073801849232
3494317489,234.48404714005932,677.8899829240565
3494317490,236.66762479646172,680.1004663307253
3494317491,239.1961291558858,682.3767879630908
3494317492,240.41391204369137,685.1966251605747
3494317593,241.2704800230661,687.3636833545552
3494319319,255.18348184345967,632.8524341232459
3494319322,257.3641851107043,635.6834778272091
3494319326,260.2462393408958,642.0263605049122
3494319329,261.8597298074343,645.9276255794184
3494319334,264.73795151865795,648.9673904669014
3501420390,218.95659672318104,607.3940529871564
3501420391,211.6757688991765,610.0359868940011
3501420392,208.61358627967462,610.0822137332968
3501425293,207.0202165373769,611.4788246055666
3501425294,222.53521126767774,611.5250514448622
3501425303,230.18970968669052,627.8417249054942
3501425306,235.15282169205182,644.4749821746525
3501425309,236.15215100127696,645.356093748027
3501425312,251.03286384975132,646.3758858392885
3501425313,252.50550924592335,646.6126232890812
3501425316,242.14333620771382,650.3962200453304
3501425319,253.41764874965114,652.9274897005113
3501425321,253.1915301332712,657.464724018777
3501425326,256.2882054230752,664.4659889531985
3501425330,261.03382197953005,666.4551438564898
3501425332,260.6064961196527,667.239599311337
3501425334,254.9477819296601,667.8223376492078
3501425335,255.2745041679249,668.5227443053356
3501425338,265.19497940019573,671.3635937024994
5502420568,260.7013509629496,644.371321989532
5502420570,227.214716872686,615.803135300327
5502420571,227.4331704512664,614.2622406569056
5502420572,230.56242215202488,622.0003333935499
5502420573,232.56012264066513,629.0548292338601
5502420574,236.2163456932396,643.1554160345587
5502420575,232.47676535399944,649.7938703211083
